timestamp_s,power_mw,sm_clock_mhz
1776368404.188,64798,1200
1776368404.291,64798,1200
1776368404.394,297492,1200
1776368404.497,299917,1200
1776368404.616,304213,1200
1776368404.719,235526,1200
1776368404.823,226935,1200
1776368404.926,229415,1200
1776368405.028,230292,1200
1776368405.131,231230,1200
1776368405.233,231841,1200
1776368405.336,228750,1200
1776368405.438,229415,1200
1776368405.541,231230,1200
1776368405.644,231230,1200
1776368405.748,232169,1200
1776368405.852,230628,1200
1776368405.954,231559,1200
1776368406.057,230018,1200
1776368406.160,229415,1200
1776368406.263,230018,1200
1776368406.366,230018,1200
1776368406.468,230018,1200
1776368406.573,230292,1200
1776368406.675,231559,1200
1776368406.778,230902,1200
1776368406.881,230292,1200
1776368406.983,230628,1200
1776368407.086,231230,1200
1776368407.188,232169,1200
1776368407.291,230018,1200
1776368407.394,230292,1200
1776368407.496,233382,1200
1776368407.599,230902,1200
1776368407.702,229689,1200
1776368407.804,230292,1200
1776368407.907,230628,1200
1776368408.009,230902,1200
1776368408.112,230018,1200
1776368408.215,230628,1200
1776368408.317,231138,1200
1776368408.420,232772,1200
1776368408.524,230292,1200
1776368408.627,230902,1200
1776368408.729,231841,1200
1776368408.832,232443,1200
1776368408.934,229689,1200
1776368409.037,230018,1200
1776368409.140,230292,1200
1776368409.242,231841,1200
1776368409.345,222867,1200
1776368409.449,210082,1200
1776368409.552,229415,1200
1776368409.654,230628,1200
1776368409.757,231230,1200
1776368409.859,230292,1200
1776368409.962,230902,1200
1776368410.064,231559,1200
1776368410.167,231230,1200
1776368410.270,229689,1200
1776368410.372,234313,1200
1776368410.477,232443,1200
1776368410.579,230292,1200
1776368410.682,230628,1200
1776368410.784,230628,1200
1776368410.887,232169,1200
1776368410.990,230292,1200
1776368411.093,230292,1200
1776368411.196,230628,1200
1776368411.299,231230,1200
1776368411.402,230902,1200
1776368411.504,230902,1200
1776368411.607,230292,1200
1776368411.710,231559,1200
1776368411.812,230628,1200
1776368411.915,230628,1200
1776368412.017,231559,1200
1776368412.120,199215,1200
1776368412.223,220488,1200
1776368412.326,226333,1200
1776368412.428,230527,1200
1776368412.531,231138,1200
1776368412.633,232407,1200
1776368412.736,230527,1200
1776368412.839,230527,1200
1776368412.941,230763,1200
1776368413.044,231796,1200
1776368413.147,233010,1200
1776368413.250,230488,1200
1776368413.353,231138,1200
1776368413.456,231467,1200
1776368413.558,232078,1200
1776368413.661,230527,1200
1776368413.763,233950,1200
1776368413.866,232407,1200
1776368413.969,232315,1200
1776368414.071,231100,1200
1776368414.176,231796,1200
1776368414.278,232644,1200
1776368414.381,233522,1200
1776368414.484,230488,1200
1776368414.586,234835,1200
1776368414.689,232315,1200
1776368414.792,233248,1200
1776368414.895,230763,1200
1776368414.998,232033,1200
1776368415.102,233522,1200
1776368415.204,230488,1200
1776368415.307,230488,1200
1776368415.410,232033,1200
1776368415.512,231796,1200
1776368415.615,231374,1200
1776368415.718,231100,1200
1776368415.820,231703,1200
1776368415.923,232919,1200
1776368416.026,230763,1200
1776368416.128,230763,1200
1776368416.231,232315,1200
1776368416.334,233522,1200
1776368416.436,230763,1200
1776368416.539,231100,1200
1776368416.641,231703,1200
1776368416.744,232315,1200
1776368416.847,231374,1200
1776368416.951,231374,1200
1776368417.054,231374,1200
1776368417.156,231100,1200
1776368417.259,231374,1200
1776368417.362,231703,1200
1776368417.464,232315,1200
1776368417.567,233522,1200
1776368417.670,231100,1200
1776368417.773,231374,1200
1776368417.876,232919,1200
1776368417.978,233284,1200
1776368418.081,230864,1200
1776368418.184,231138,1200
1776368418.286,231841,1200
1776368418.389,232443,1200
1776368418.491,231138,1200
1776368418.594,231796,1200
1776368418.696,231138,1200
1776368418.801,231559,1200
1776368418.903,230902,1200
1776368419.006,232078,1200
1776368419.108,232443,1200
1776368419.211,232169,1200
1776368419.314,231796,1200
1776368419.417,232407,1200
1776368419.519,235438,1200
1776368419.622,230527,1200
1776368419.727,231467,1200
1776368419.830,232407,1200
1776368419.932,233284,1200
1776368420.035,230864,1200
1776368420.138,231230,1200
1776368420.241,231559,1200
1776368420.343,232772,1200
1776368420.446,231230,1200
1776368420.550,231559,1200
1776368420.653,231230,1200
1776368420.755,232443,1200
1776368420.858,231559,1200
1776368420.960,231841,1200
1776368421.063,232772,1200
1776368421.166,232443,1200
1776368421.268,231559,1200
1776368421.371,232169,1200
1776368421.475,232169,1200
1776368421.578,232443,1200
1776368421.680,230292,1200
1776368421.783,231230,1200
1776368421.885,232443,1200
1776368421.988,233711,1200
1776368422.091,235800,1200
1776368422.193,230902,1200
1776368422.296,231559,1200
1776368422.400,231841,1200
1776368422.502,231230,1200
1776368422.606,231841,1200
1776368422.709,232169,1200
1776368422.811,232169,1200
1776368422.914,231559,1200
1776368423.016,236136,1200
1776368423.119,232443,1200
1776368423.222,232169,1200
1776368423.325,230902,1200
1776368423.427,231841,1200
1776368423.530,232772,1200
1776368423.632,233046,1200
1776368423.735,230902,1200
1776368423.837,231559,1200
1776368423.940,235526,1200
1776368424.043,233046,1200
1776368424.146,230902,1200
1776368424.250,231559,1200
1776368424.353,231841,1200
1776368424.456,231559,1200
1776368424.558,231230,1200
1776368424.661,231841,1200
1776368424.764,232772,1200
1776368424.867,230902,1200
1776368424.970,231559,1200
1776368425.074,231230,1200
1776368425.176,231841,1200
1776368425.279,230902,1200
1776368425.382,231230,1200
1776368425.484,231559,1200
1776368425.587,231841,1200
1776368425.689,225120,1200
1776368425.792,212500,1200
1776368425.894,229087,1200
1776368425.997,232169,1200
1776368426.100,232169,1200
1776368426.203,230628,1200
1776368426.306,230902,1200
1776368426.409,232169,1200
1776368426.511,233711,1200
1776368426.614,231230,1200
1776368426.716,234923,1200
1776368426.819,231230,1200
1776368426.922,231841,1200
1776368427.025,231230,1200
1776368427.128,231559,1200
1776368427.230,232169,1200
1776368427.333,231841,1200
1776368427.435,231230,1200
1776368427.538,232169,1200
1776368427.640,232443,1200
1776368427.743,233382,1200
1776368427.846,230628,1200
1776368427.950,231230,1200
1776368428.052,231559,1200
1776368428.155,231841,1200
1776368428.258,235800,1200
1776368428.360,231559,1200
1776368428.463,232169,1200
1776368428.565,232443,1200
1776368428.668,232169,1200
1776368428.771,232772,1200
1776368428.876,233382,1200
1776368428.978,230628,1200
1776368429.081,230902,1200
1776368429.184,231841,1200
1776368429.287,233046,1200
1776368429.389,230628,1200
1776368429.492,230902,1200
1776368429.595,231841,1200
1776368429.698,232169,1200
1776368429.801,231230,1200
1776368429.903,231559,1200
1776368430.006,231841,1200
1776368430.109,232169,1200
1776368430.211,231230,1200
1776368430.314,231230,1200
1776368430.417,234313,1200
1776368430.519,232772,1200
1776368430.622,230902,1200
1776368430.726,231230,1200
1776368430.829,231559,1200
1776368430.932,232169,1200
1776368431.035,231230,1200
1776368431.137,231559,1200
1776368431.240,232169,1200
1776368431.343,231559,1200
1776368431.445,230902,1200
1776368431.548,231841,1200
1776368431.651,232681,1200
1776368431.754,233621,1200
1776368431.856,231138,1200
1776368431.959,230864,1200
1776368432.062,232078,1200
1776368432.164,233284,1200
1776368432.267,230864,1200
1776368432.370,230864,1200
1776368432.473,231796,1200
1776368432.576,232681,1200
1776368432.679,231467,1200
1776368432.781,231467,1200
1776368432.884,231796,1200
1776368432.987,232407,1200
1776368433.089,231138,1200
1776368433.192,233284,1200
1776368433.295,228381,1200
1776368433.397,231796,1200
1776368433.501,233284,1200
1776368433.603,233284,1200
1776368433.706,231138,1200
1776368433.809,231796,1200
1776368433.912,232407,1200
1776368434.014,233621,1200
1776368434.117,230864,1200
1776368434.220,231138,1200
1776368434.323,231796,1200
1776368434.426,233284,1200
1776368434.528,231467,1200
1776368434.631,231138,1200
1776368434.734,230864,1200
1776368434.836,231138,1200
1776368434.939,235767,1200
1776368435.041,231796,1200
1776368435.144,232078,1200
1776368435.247,232407,1200
1776368435.351,231138,1200
1776368435.454,232078,1200
1776368435.556,231796,1200
1776368435.659,232407,1200
1776368435.762,230253,1200
1776368435.864,234835,1200
1776368435.967,232681,1200
1776368436.070,233621,1200
1776368436.173,230864,1200
1776368436.276,231138,1200
1776368436.378,231467,1200
1776368436.481,232407,1200
1776368436.584,231138,1200
1776368436.686,230864,1200
1776368436.789,231796,1200
1776368436.892,232078,1200
1776368436.994,231138,1200
1776368437.097,231467,1200
1776368437.201,231138,1200
1776368437.303,231796,1200
1776368437.406,231796,1200
1776368437.509,232078,1200
1776368437.611,231467,1200
1776368437.714,230253,1200
1776368437.817,231100,1200
1776368437.920,232407,1200
1776368438.023,233010,1200
1776368438.126,231138,1200
1776368438.229,235438,1200
1776368438.332,231467,1200
1776368438.434,231796,1200
1776368438.537,230527,1200
1776368438.640,230864,1200
1776368438.742,231138,1200
1776368438.845,231796,1200
1776368438.948,231467,1200
1776368439.051,231796,1200
1776368439.153,232078,1200
1776368439.256,232644,1200
1776368439.359,230527,1200
1776368439.462,231796,1200
1776368439.564,232407,1200
1776368439.667,233248,1200
1776368439.769,230864,1200
1776368439.872,231467,1200
1776368439.976,235767,1200
1776368440.079,233284,1200
1776368440.181,231138,1200
1776368440.284,231467,1200
1776368440.387,231230,1200
1776368440.489,232443,1200
1776368440.592,230628,1200
1776368440.695,230902,1200
1776368440.798,231559,1200
1776368440.900,231559,1200
1776368441.003,230902,1200
1776368441.106,231559,1200
1776368441.208,231230,1200
1776368441.311,231841,1200
1776368441.413,231559,1200
1776368441.516,231230,1200
1776368441.619,234553,1200
1776368441.721,68827,1200
1776368441.825,230628,1200
1776368441.928,231230,1200
1776368442.030,230902,1200
1776368442.133,231841,1200
1776368442.236,231559,1200
1776368442.339,231559,1200
1776368442.441,234923,1200
1776368442.544,230628,1200
1776368442.647,230628,1200
1776368442.753,230902,1200
1776368442.855,230902,1200
1776368442.958,232443,1200
1776368443.061,231230,1200
1776368443.163,235197,1200
1776368443.266,231559,1200
1776368443.369,231841,1200
1776368443.472,231230,1200
1776368443.575,231841,1200
1776368443.678,232443,1200
1776368443.780,233382,1200
1776368443.883,230902,1200
