210,1776356424446,1776356544569
270,1776356639796,1776356759938
345,1776356855155,1776356975282
420,1776357070491,1776357190616
480,1776357285829,1776357405958
555,1776357501182,1776357621311
630,1776357716518,1776357836645
690,1776357931864,1776358052000
765,1776358147211,1776358267340
840,1776358362550,1776358482678
915,1776358577886,1776358698008
975,1776358793227,1776358913367
1050,1776359008575,1776359128714
1125,1776359223934,1776359344060
1185,1776359439259,1776359559396
1260,1776359654608,1776359774740
1335,1776359869972,1776359990102
1410,1776360085319,1776360205459
