timestamp_s,power_mw,sm_clock_mhz
1776363666.619,54862,450
1776363666.722,54862,450
1776363666.825,136960,450
1776363666.928,139047,450
1776363667.030,138445,450
1776363667.133,137562,450
1776363667.236,138445,450
1776363667.339,137562,450
1776363667.444,139711,450
1776363667.547,136295,450
1776363667.650,125290,450
1776363667.753,127104,450
1776363667.856,128980,450
1776363667.958,127844,450
1776363668.062,135694,450
1776363668.165,128980,450
1776363668.269,124962,450
1776363668.372,122062,450
1776363668.474,120062,450
1776363668.577,125564,450
1776363668.680,125419,450
1776363668.783,119186,450
1776363668.886,126502,450
1776363668.988,127440,450
1776363669.092,119788,450
1776363669.195,122539,450
1776363669.297,123477,450
1776363669.400,120671,450
1776363669.503,124962,450
1776363669.606,119788,450
1776363669.708,126502,450
1776363669.811,126228,450
1776363669.914,128042,450
1776363670.017,119460,450
1776363670.121,127104,450
1776363670.227,119186,450
1776363670.330,121937,450
1776363670.433,130191,450
1776363670.535,121328,450
1776363670.638,120398,450
1776363670.741,125564,450
1776363670.845,122211,450
1776363670.948,124079,450
1776363671.050,120398,450
1776363671.153,128042,450
1776363671.256,125564,450
1776363671.358,131121,450
1776363671.461,124962,450
1776363671.564,127104,450
1776363671.667,120999,450
1776363671.770,120062,450
1776363671.873,127104,450
1776363671.976,119460,450
1776363672.079,124962,450
1776363672.181,125900,450
1776363672.284,127440,450
1776363672.387,123477,450
1776363672.490,119788,450
1776363672.593,124079,450
1776363672.696,128651,450
1776363672.799,119788,450
1776363672.901,120398,450
1776363673.004,125564,450
1776363673.107,121937,450
1776363673.209,125900,450
1776363673.312,124962,450
1776363673.415,125290,450
1776363673.518,120062,450
1776363673.621,124689,450
1776363673.724,120062,450
1776363673.826,124353,450
1776363673.929,124689,450
1776363674.032,122813,450
1776363674.135,123477,450
1776363674.237,124962,450
1776363674.340,123751,450
1776363674.443,121937,450
1776363674.550,125900,450
1776363674.653,119788,450
1776363674.756,123477,450
1776363674.858,128980,450
1776363674.961,123751,450
1776363675.064,128651,450
1776363675.167,120398,450
1776363675.271,122813,450
1776363675.374,125290,450
1776363675.478,131121,450
1776363675.580,129581,450
1776363675.683,123477,450
1776363675.786,121937,450
1776363675.888,123149,450
1776363675.991,126830,450
1776363676.094,130191,450
1776363676.197,125564,450
1776363676.300,120671,450
1776363676.402,121328,450
1776363676.505,126228,450
1776363676.608,124079,450
1776363676.711,124079,450
1776363676.813,124079,450
1776363676.916,121937,450
1776363677.019,123149,450
1776363677.122,129855,450
1776363677.225,128980,450
1776363677.328,126830,450
1776363677.430,122539,450
1776363677.534,120398,450
1776363677.636,125564,450
1776363677.739,125900,450
1776363677.842,129581,450
1776363677.947,124689,450
1776363678.049,122211,450
1776363678.152,124079,450
1776363678.255,126502,450
1776363678.358,121726,450
1776363678.460,124480,450
1776363678.563,129988,450
1776363678.666,122062,450
1776363678.771,121123,450
1776363678.878,124816,450
1776363678.981,126358,450
1776363679.084,128783,450
1776363679.187,126029,450
1776363679.290,125419,450
1776363679.393,119308,450
1776363679.496,122939,450
1776363679.599,120184,450
1776363679.701,123877,450
1776363679.804,124206,450
1776363679.907,120521,450
1776363680.010,134620,450
1776363680.113,120795,450
1776363680.216,121123,450
1776363680.319,125693,450
1776363680.422,131255,450
1776363680.525,126358,450
1776363680.628,123877,450
1776363680.731,124480,450
1776363680.834,119911,450
1776363680.937,123877,450
1776363681.041,122062,450
1776363681.144,124816,450
1776363681.247,121123,450
1776363681.350,126960,450
1776363681.453,126029,450
1776363681.556,122665,450
1776363681.659,126029,450
1776363681.762,125693,450
1776363681.865,119911,450
1776363681.967,123275,450
1776363682.070,130653,450
1776363682.173,122062,450
1776363682.276,128783,450
1776363682.381,122336,450
1776363682.484,120795,450
1776363682.587,125693,450
1776363682.690,124816,450
1776363682.793,124480,450
1776363682.896,126029,450
1776363682.998,123877,450
1776363683.101,120795,450
1776363683.213,123604,450
1776363683.316,123604,450
1776363683.419,126631,450
1776363683.521,127234,450
1776363683.624,120184,450
1776363683.727,124816,450
1776363683.830,124480,450
1776363683.934,124206,450
1776363684.037,125090,450
1776363684.139,123604,450
1776363684.242,124206,450
1776363684.345,125090,450
1776363684.448,120521,450
1776363684.550,125090,450
1776363684.653,130324,450
1776363684.756,126029,450
1776363684.859,125547,450
1776363684.962,126158,450
1776363685.065,121726,450
1776363685.168,126158,450
1776363685.270,120918,450
1776363685.373,126029,450
1776363685.476,123275,450
1776363685.579,124689,450
1776363685.681,124480,450
1776363685.784,122939,450
1776363685.887,122336,450
1776363685.990,126029,450
1776363686.093,121726,450
1776363686.196,121123,450
1776363686.299,128042,450
1776363686.402,129988,450
1776363686.505,127440,450
1776363686.608,122665,450
1776363686.711,121726,450
1776363686.814,124480,450
1776363686.917,126029,450
1776363687.020,126631,450
1776363687.123,126228,450
1776363687.225,127713,450
1776363687.328,119460,450
1776363687.431,123149,450
1776363687.534,125564,450
1776363687.636,131403,450
1776363687.745,129855,450
1776363687.848,120999,450
1776363687.951,120999,450
1776363688.053,125436,450
1776363688.156,126099,450
1776363688.259,130987,450
1776363688.363,124689,450
1776363688.467,119788,450
1776363688.570,119788,450
1776363688.672,127713,450
1776363688.775,124962,450
1776363688.878,123149,450
1776363688.980,124962,450
1776363689.083,122539,450
1776363689.186,123477,450
1776363689.288,126228,450
1776363689.391,127440,450
1776363689.494,129855,450
1776363689.597,127440,450
1776363689.699,120062,450
1776363689.802,125900,450
1776363689.906,125564,450
1776363690.008,128651,450
1776363690.111,126228,450
1776363690.214,127713,450
1776363690.317,120671,450
1776363690.420,125564,450
1776363690.523,123149,450
1776363690.626,129855,450
1776363690.729,128980,450
1776363690.832,119186,450
1776363690.934,124079,450
1776363691.037,124962,450
1776363691.140,124689,450
1776363691.243,130793,450
1776363691.346,123477,450
1776363691.448,123149,450
1776363691.551,124962,450
1776363691.654,128980,450
1776363691.757,131403,450
1776363691.859,126502,450
1776363691.962,120398,450
1776363692.071,120398,450
1776363692.174,127713,450
1776363692.277,124079,450
1776363692.379,128980,450
1776363692.482,125290,450
1776363692.585,124353,450
1776363692.688,123751,450
1776363692.790,125564,450
1776363692.895,128980,450
1776363692.997,130191,450
1776363693.100,128370,450
1776363693.203,119788,450
1776363693.305,122813,450
1776363693.408,125900,450
1776363693.511,124079,450
1776363693.614,132004,450
1776363693.717,124962,450
1776363693.820,124079,450
1776363693.923,121601,450
1776363694.026,124079,450
1776363694.130,125564,450
1776363694.232,124689,450
1776363694.335,124689,450
1776363694.437,124079,450
1776363694.540,120398,450
1776363694.643,126830,450
1776363694.746,124353,450
1776363694.849,126502,450
1776363694.952,121601,450
1776363695.054,120062,450
1776363695.157,129253,450
1776363695.260,120274,450
1776363695.362,120671,450
1776363695.465,125900,450
1776363695.568,126228,450
1776363695.671,119460,450
1776363695.774,130519,450
1776363695.877,129253,450
1776363695.979,120671,450
1776363696.082,121328,450
1776363696.185,125900,450
1776363696.290,125900,450
1776363696.393,132004,450
1776363696.496,125564,450
1776363696.599,125900,450
1776363696.701,121601,450
1776363696.804,128370,450
1776363696.907,126502,450
1776363697.009,123149,450
1776363697.112,125564,450
1776363697.215,121937,450
1776363697.318,123751,450
1776363697.421,125290,450
1776363697.524,127104,450
1776363697.626,122539,450
1776363697.729,126830,450
1776363697.832,121937,450
1776363697.934,121601,450
1776363698.037,124962,450
1776363698.140,121328,450
1776363698.243,126830,450
1776363698.347,126502,450
1776363698.449,125900,450
1776363698.552,126502,450
1776363698.655,120999,450
1776363698.758,123751,450
1776363698.860,130191,450
1776363698.963,123149,450
1776363699.066,124353,450
1776363699.169,124206,450
1776363699.272,122939,450
1776363699.375,124206,450
1776363699.478,125693,450
1776363699.581,129714,450
1776363699.683,126029,450
1776363699.786,125693,450
1776363699.889,120795,450
1776363699.992,124480,450
1776363700.096,126358,450
1776363700.199,125090,450
1776363700.302,129714,450
1776363700.405,129385,450
1776363700.507,129385,450
1776363700.613,119582,450
1776363700.716,122665,450
1776363700.821,123877,450
1776363700.925,124816,450
1776363701.027,125090,450
1776363701.130,120521,450
1776363701.233,132140,450
1776363701.336,121123,450
1776363701.438,121726,450
1776363701.541,122939,450
1776363701.645,124816,450
1776363701.748,119911,450
1776363701.851,122336,450
1776363701.953,129988,450
1776363702.056,125090,450
1776363702.159,131537,450
1776363702.262,126029,450
1776363702.364,124206,450
1776363702.467,119911,450
1776363702.571,123275,450
1776363702.674,120521,450
1776363702.777,129988,450
1776363702.880,122939,450
1776363702.983,122336,450
1776363703.085,123877,450
1776363703.188,126358,450
1776363703.291,127234,450
1776363703.396,124480,450
1776363703.499,129112,450
1776363703.601,121726,450
1776363703.704,124206,450
1776363703.807,123275,450
1776363703.910,120795,450
1776363704.012,127570,450
1776363704.115,127570,450
1776363704.218,125693,450
1776363704.322,125419,450
1776363704.425,132140,450
1776363704.528,126358,450
1776363704.630,126358,450
1776363704.733,121452,450
1776363704.839,119788,450
1776363704.942,125290,450
1776363705.046,124353,450
1776363705.149,122813,450
1776363705.251,125900,450
1776363705.354,125564,450
1776363705.457,120062,450
1776363705.559,122813,450
1776363705.662,128370,450
1776363705.765,123477,450
1776363705.868,127440,450
1776363705.971,122539,450
1776363706.074,122211,450
1776363706.177,125564,450
1776363706.279,120671,450
1776363706.382,127104,450
1776363706.485,125693,450
1776363706.588,122211,450
1776363706.690,123149,450
1776363706.793,128651,450
1776363706.897,124962,450
1776363707.000,124962,450
1776363707.103,121601,450
1776363707.205,128370,450
1776363707.308,128651,450
1776363707.411,123877,450
1776363707.513,125564,450
1776363707.616,123477,450
1776363707.719,124079,450
1776363707.822,125900,450
1776363707.925,122539,450
1776363708.028,120671,450
1776363708.130,122813,450
1776363708.233,125290,450
1776363708.336,124353,450
1776363708.439,134946,450
1776363708.541,124353,450
1776363708.644,123351,450
1776363708.748,125290,450
1776363708.851,127440,450
1776363708.953,120062,450
1776363709.056,126830,450
1776363709.162,121328,450
1776363709.264,119788,450
1776363709.367,125900,450
1776363709.470,126228,450
1776363709.573,133271,450
1776363709.676,126228,450
1776363709.779,125290,450
1776363709.881,120062,450
1776363709.984,123477,450
1776363710.087,130191,450
1776363710.190,132004,450
1776363710.292,128651,450
1776363710.395,122211,450
1776363710.498,121328,450
1776363710.601,126502,450
1776363710.704,124962,450
1776363710.806,125290,450
1776363710.909,126228,450
1776363711.012,128370,450
1776363711.114,120062,450
1776363711.217,121937,450
1776363711.320,125290,450
1776363711.424,130191,450
1776363711.526,122539,450
1776363711.629,120999,450
1776363711.732,124353,450
1776363711.834,129581,450
1776363711.937,125564,450
1776363712.040,126502,450
1776363712.143,126228,450
1776363712.246,120671,450
1776363712.349,125900,450
1776363712.452,125290,450
1776363712.555,124353,450
1776363712.657,124689,450
1776363712.760,123149,450
1776363712.863,126228,450
1776363712.966,126830,450
1776363713.069,123477,450
1776363713.172,126228,450
1776363713.275,122813,450
1776363713.377,123149,450
1776363713.480,124962,450
1776363713.583,123477,450
1776363713.690,130191,450
1776363713.792,129253,450
1776363713.895,120398,450
1776363713.999,120671,450
1776363714.102,125564,450
1776363714.204,123477,450
1776363714.307,132004,450
1776363714.410,122211,450
1776363714.512,122211,450
1776363714.615,126830,450
1776363714.717,127713,450
1776363714.820,131731,450
1776363714.924,125900,450
1776363715.027,120398,450
1776363715.129,123149,450
1776363715.232,129855,450
1776363715.335,131121,450
1776363715.437,128042,450
1776363715.540,121328,450
1776363715.643,120671,450
1776363715.745,126228,450
1776363715.848,132004,450
1776363715.952,125900,450
1776363716.055,124689,450
1776363716.157,122211,450
1776363716.260,125564,450
1776363716.362,123751,450
1776363716.465,124079,450
1776363716.568,128980,450
1776363716.670,119186,450
1776363716.775,121937,450
1776363716.877,126228,450
1776363716.980,132669,450
1776363717.083,125900,450
1776363717.186,121601,450
1776363717.288,126228,450
1776363717.391,125290,450
1776363717.494,132942,450
1776363717.597,124079,450
1776363717.701,126502,450
1776363717.804,120062,450
1776363717.906,121601,450
1776363718.012,127440,450
1776363718.114,125900,450
1776363718.217,124353,450
1776363718.320,126228,450
1776363718.423,126228,450
1776363718.525,120184,450
1776363718.628,121123,450
1776363718.731,128173,450
1776363718.833,120521,450
1776363718.936,124480,450
1776363719.039,126358,450
1776363719.141,127844,450
1776363719.244,121123,450
1776363719.347,125090,450
1776363719.451,126358,450
1776363719.553,125090,450
1776363719.656,122939,450
1776363719.759,124206,450
1776363719.861,121452,450
1776363719.964,123275,450
1776363720.067,126631,450
1776363720.170,122336,450
1776363720.273,128173,450
1776363720.378,119911,450
1776363720.481,125693,450
1776363720.584,125419,450
1776363720.687,123275,450
1776363720.791,127570,450
1776363720.894,121452,450
1776363720.997,127570,450
1776363721.101,126358,450
1776363721.204,128173,450
1776363721.306,119911,450
1776363721.409,128501,450
1776363721.512,119911,450
1776363721.614,123275,450
1776363721.717,127234,450
1776363721.820,125419,450
1776363721.923,126358,450
1776363722.027,131537,450
1776363722.130,126960,450
1776363722.232,120521,450
1776363722.338,123877,450
1776363722.441,125090,450
1776363722.544,124206,450
1776363722.647,130653,450
1776363722.751,123275,450
1776363722.854,125693,450
1776363722.956,122062,450
1776363723.059,121123,450
1776363723.162,126029,450
1776363723.265,124206,450
1776363723.367,132468,450
1776363723.470,123877,450
1776363723.573,124206,450
1776363723.677,124206,450
1776363723.779,124944,450
1776363723.882,122062,450
1776363723.985,125693,450
1776363724.087,128783,450
1776363724.190,126228,450
1776363724.292,127570,450
1776363724.395,119788,450
1776363724.498,124353,450
1776363724.602,131731,450
1776363724.705,129581,450
1776363724.808,124689,450
1776363724.910,122211,450
1776363725.013,123477,450
1776363725.116,129855,450
1776363725.219,122539,450
1776363725.321,125290,450
1776363725.424,125900,450
1776363725.527,121452,450
1776363725.630,121123,450
1776363725.733,122939,450
1776363725.836,120671,450
1776363725.939,125900,450
1776363726.041,124962,450
1776363726.144,121726,450
1776363726.247,124079,450
1776363726.349,121937,450
1776363726.453,126502,450
1776363726.556,126502,450
1776363726.662,120671,450
1776363726.764,124079,450
1776363726.867,125290,450
1776363726.970,138303,450
1776363727.072,135883,450
1776363727.176,134344,450
1776363727.296,134946,450
1776363727.399,135555,450
1776363727.504,135281,450
1776363727.606,132806,450
1776363727.709,130987,450
1776363727.812,123149,450
1776363727.915,135555,450
1776363728.017,136022,450
1776363728.120,134810,450
1776363728.223,136295,450
1776363728.326,136022,450
1776363728.428,133872,450
1776363728.531,138171,450
1776363728.634,135420,450
1776363728.737,136624,450
1776363728.839,136295,450
1776363728.942,137835,450
1776363729.045,136960,450
1776363729.148,136295,450
1776363729.251,139375,450
1776363729.354,136960,450
1776363729.457,136960,450
1776363729.560,135420,450
1776363729.662,139047,450
1776363729.765,137233,450
1776363729.868,133544,450
1776363729.971,136295,450
1776363730.073,138171,450
1776363730.177,134810,450
1776363730.280,136295,450
1776363730.385,136624,450
1776363730.488,136022,450
1776363730.591,136022,450
1776363730.694,136022,450
1776363730.796,135694,450
1776363730.899,138171,450
1776363731.002,136295,450
1776363731.105,136295,450
1776363731.208,139047,450
1776363731.311,135084,450
1776363731.414,136022,450
1776363731.516,136295,450
1776363731.619,136960,450
1776363731.722,136295,450
1776363731.824,135694,450
1776363731.928,134810,450
1776363732.030,136295,450
1776363732.133,136295,450
1776363732.236,136022,450
1776363732.339,135694,450
1776363732.441,138445,450
1776363732.544,136960,450
1776363732.647,135694,450
1776363732.750,136820,450
1776363732.853,136960,450
1776363732.956,136960,450
1776363733.059,139047,450
1776363733.161,136624,450
1776363733.264,136295,450
1776363733.367,136295,450
1776363733.470,137562,450
1776363733.572,136022,450
1776363733.675,135694,450
1776363733.778,135694,450
1776363733.882,136295,450
1776363733.985,136295,450
1776363734.087,135694,450
1776363734.190,133544,450
1776363734.293,138445,450
1776363734.395,136022,450
1776363734.498,136624,450
1776363734.601,138445,450
1776363734.704,136624,450
1776363734.808,136295,450
1776363734.914,136295,450
1776363735.016,137835,450
1776363735.119,136624,450
1776363735.222,135694,450
1776363735.325,135084,450
1776363735.427,137562,450
1776363735.530,137233,450
1776363735.633,136960,450
1776363735.736,136295,450
1776363735.838,136960,450
1776363735.941,136960,450
1776363736.044,136624,450
1776363736.146,138773,450
1776363736.249,136624,450
1776363736.352,136295,450
1776363736.456,135694,450
1776363736.559,139047,450
1776363736.662,136960,450
1776363736.765,135694,450
1776363736.868,136295,450
1776363736.971,138445,450
1776363737.074,136960,450
1776363737.177,135694,450
1776363737.280,136624,450
1776363737.384,136624,450
1776363737.488,136295,450
1776363737.590,135084,450
1776363737.693,137976,450
1776363737.796,137100,450
1776363737.899,134009,450
1776363738.001,138587,450
1776363738.104,136435,450
1776363738.207,135832,450
1776363738.310,136161,450
1776363738.412,137702,450
1776363738.515,136764,450
1776363738.618,135559,450
1776363738.720,135559,450
1776363738.823,138915,450
1776363738.926,136435,450
1776363739.028,136161,450
1776363739.131,136161,450
1776363739.238,137100,450
1776363739.341,136764,450
1776363739.444,136161,450
1776363739.546,136161,450
1776363739.649,135559,450
1776363739.752,136161,450
1776363739.854,135832,450
1776363739.958,133681,450
1776363740.061,137100,450
1776363740.164,135832,450
1776363740.266,136764,450
1776363740.369,138915,450
1776363740.472,137374,450
1776363740.575,136435,450
1776363740.678,136435,450
1776363740.780,137976,450
1776363740.884,136764,450
1776363740.987,136435,450
1776363741.089,136435,450
1776363741.192,137976,450
1776363741.295,136435,450
1776363741.398,135832,450
1776363741.501,136161,450
1776363741.604,136161,450
1776363741.707,135832,450
1776363741.810,138915,450
1776363741.914,136764,450
1776363742.016,136435,450
1776363742.119,136764,450
1776363742.222,137702,450
1776363742.324,136764,450
1776363742.427,136764,450
1776363742.530,134009,450
1776363742.634,137976,450
1776363742.737,136435,450
1776363742.840,134009,450
1776363742.943,136161,450
1776363743.045,136161,450
1776363743.148,136435,450
1776363743.251,135559,450
1776363743.354,134757,450
1776363743.456,138313,450
1776363743.559,134757,450
1776363743.667,136903,450
1776363743.770,138117,450
1776363743.872,137843,450
1776363743.975,137240,450
1776363744.078,136300,450
1776363744.181,138728,450
1776363744.284,136574,450
1776363744.388,136300,450
1776363744.490,133818,450
1776363744.593,140271,450
1776363744.696,137843,450
1776363744.798,136903,450
1776363744.901,135971,450
1776363745.004,137240,450
1776363745.106,136161,450
1776363745.209,136435,450
1776363745.313,134291,450
1776363745.416,137835,450
1776363745.518,136435,450
1776363745.621,136161,450
1776363745.724,135559,450
1776363745.827,137100,450
1776363745.929,135832,450
1776363746.032,138773,450
1776363746.135,137562,450
1776363746.239,136960,450
1776363746.342,136022,450
1776363746.445,137233,450
1776363746.547,137233,450
1776363746.650,136295,450
1776363746.753,136820,450
1776363746.856,137093,450
1776363746.958,136484,450
1776363747.061,136484,450
1776363747.164,136960,450
1776363747.268,137233,450
1776363747.370,136156,450
1776363747.473,136624,450
1776363747.575,138773,450
1776363747.678,136960,450
1776363747.781,136960,450
1776363747.883,136960,450
1776363747.986,136960,450
1776363748.089,137421,450
1776363748.193,136156,450
1776363748.301,136820,450
1776363748.404,138030,450
1776363748.507,136624,450
1776363748.609,136624,450
1776363748.712,139711,450
1776363748.815,135694,450
1776363748.918,136295,450
1776363749.022,135084,450
1776363749.125,137562,450
1776363749.228,137233,450
1776363749.330,136022,450
