timestamp_s,power_mw,sm_clock_mhz
1776357010.410,54862,420
1776357010.515,54918,420
1776357010.618,129988,420
1776357010.721,129988,420
1776357010.824,131255,420
1776357010.927,131537,420
1776357011.030,133078,420
1776357011.132,133681,420
1776357011.235,133407,420
1776357011.338,135222,420
1776357011.441,126960,420
1776357011.543,126631,420
1776357011.646,127234,420
1776357011.749,127844,420
1776357011.852,126631,420
1776357011.957,118369,420
1776357012.060,118369,420
1776357012.163,133681,420
1776357012.266,128173,420
1776357012.368,120521,420
1776357012.471,123877,420
1776357012.574,124816,420
1776357012.676,118369,420
1776357012.780,124206,420
1776357012.883,123275,420
1776357012.986,123604,420
1776357013.089,117430,420
1776357013.192,118369,420
1776357013.295,126029,420
1776357013.398,120795,420
1776357013.501,124206,420
1776357013.604,121452,420
1776357013.707,118369,420
1776357013.810,118972,420
1776357013.913,120184,420
1776357014.015,121726,420
1776357014.118,122336,420
1776357014.221,128783,420
1776357014.324,118041,420
1776357014.427,121726,420
1776357014.530,124206,420
1776357014.633,124206,420
1776357014.735,123275,420
1776357014.841,124480,420
1776357014.944,125693,420
1776357015.047,125547,420
1776357015.149,123604,420
1776357015.252,122939,420
1776357015.356,118161,420
1776357015.459,119093,420
1776357015.562,124944,420
1776357015.665,122062,420
1776357015.767,119093,420
1776357015.870,117887,420
1776357015.973,125547,420
1776357016.076,122187,420
1776357016.179,127701,420
1776357016.282,117887,420
1776357016.385,122790,420
1776357016.487,123730,420
1776357016.590,126487,420
1776357016.693,118161,420
1776357016.796,127364,420
1776357016.899,121850,420
1776357017.002,124004,420
1776357017.106,124944,420
1776357017.208,118764,420
1776357017.311,120918,420
1776357017.414,124944,420
1776357017.517,123730,420
1776357017.620,123730,420
1776357017.723,117550,420
1776357017.825,124607,420
1776357017.929,124004,420
1776357018.032,126761,420
1776357018.135,117430,420
1776357018.238,124816,420
1776357018.341,124206,420
1776357018.443,126358,420
1776357018.546,122665,420
1776357018.649,118972,420
1776357018.752,126960,420
1776357018.854,124480,420
1776357018.958,123275,420
1776357019.061,125419,420
1776357019.167,120184,420
1776357019.270,127234,420
1776357019.372,117767,420
1776357019.475,130653,420
1776357019.578,124206,420
1776357019.682,123275,420
1776357019.785,118041,420
1776357019.888,118041,420
1776357019.990,124816,420
1776357020.093,122939,420
1776357020.196,119308,420
1776357020.298,119308,420
1776357020.401,126358,420
1776357020.504,121123,420
1776357020.608,119911,420
1776357020.710,117767,420
1776357020.813,125419,420
1776357020.915,123604,420
1776357021.018,124816,420
1776357021.121,118369,420
1776357021.223,124206,420
1776357021.326,124206,420
1776357021.430,123604,420
1776357021.534,124079,420
1776357021.636,126228,420
