timestamp_s,power_mw,sm_clock_mhz
1776362159.187,54307,210
1776362159.294,54033,210
1776362159.397,93021,210
1776362159.502,91141,210
1776362159.604,92315,210
1776362159.707,90172,210
1776362159.810,92315,210
1776362159.913,94741,210
1776362160.016,90774,210
1776362160.118,94741,210
1776362160.221,89507,210
1776362160.324,93802,210
1776362160.429,90172,210
1776362160.532,93199,210
1776362160.635,91987,210
1776362160.738,92589,210
1776362160.841,91987,210
1776362160.944,92315,210
1776362161.046,100249,210
1776362161.149,89835,210
1776362161.252,88020,210
1776362161.357,88622,210
1776362161.460,86992,210
1776362161.563,88904,210
1776362161.665,89141,210
1776362161.768,95582,210
1776362161.871,90079,210
1776362161.974,89743,210
1776362162.076,88813,210
1776362162.181,90681,210
1776362162.283,95855,210
1776362162.386,90353,210
1776362162.489,89141,210
1776362162.591,93706,210
1776362162.694,87930,210
1776362162.797,95582,210
1776362162.899,93706,210
1776362163.002,89141,210
1776362163.105,98607,210
1776362163.209,89141,210
1776362163.311,95855,210
1776362163.414,90079,210
1776362163.517,87602,210
1776362163.620,98607,210
1776362163.726,89743,210
1776362163.828,96786,210
1776362163.931,89141,210
1776362164.037,93706,210
1776362164.139,91564,210
1776362164.242,89415,210
1776362164.345,96457,210
1776362164.448,89415,210
1776362164.551,95855,210
1776362164.653,89415,210
1776362164.756,95855,210
1776362164.861,97997,210
1776362164.964,89415,210
1776362165.067,99263,210
1776362165.170,89415,210
1776362165.272,96786,210
1776362165.375,90079,210
1776362165.478,89415,210
1776362165.580,97723,210
1776362165.683,90079,210
1776362165.787,96184,210
1776362165.891,98607,210
1776362165.994,91893,210
1776362166.096,90079,210
1776362166.199,98935,210
1776362166.302,88204,210
1776362166.404,96786,210
1776362166.507,89743,210
1776362166.610,97997,210
1776362166.713,94972,210
1776362166.818,89141,210
1776362166.920,95855,210
1776362167.023,89415,210
1776362167.126,96786,210
1776362167.229,90681,210
1776362167.332,89743,210
1776362167.434,99873,210
1776362167.537,89415,210
1776362167.644,95855,210
1776362167.746,89415,210
1776362167.850,95246,210
1776362167.955,90681,210
1776362168.058,89743,210
1776362168.161,98935,210
1776362168.264,89743,210
1776362168.370,94370,210
1776362168.473,90353,210
1776362168.575,95855,210
1776362168.678,92221,210
1776362168.781,90079,210
1776362168.884,95855,210
1776362168.986,88204,210
1776362169.089,98935,210
1776362169.192,90353,210
1776362169.297,95582,210
1776362169.400,97122,210
1776362169.503,89415,210
1776362169.606,95855,210
1776362169.708,89415,210
1776362169.811,97997,210
1776362169.914,90353,210
1776362170.017,89415,210
1776362170.120,94644,210
1776362170.225,98607,210
1776362170.327,89743,210
1776362170.430,94644,210
1776362170.533,91893,210
1776362170.635,89743,210
1776362170.738,95246,210
1776362170.841,89415,210
1776362170.943,96457,210
1776362171.046,90079,210
1776362171.150,95855,210
1776362171.252,94034,210
1776362171.355,89415,210
1776362171.458,99263,210
1776362171.561,89415,210
1776362171.664,96184,210
1776362171.766,90079,210
1776362171.869,90353,210
1776362171.972,103226,210
1776362172.078,88813,210
1776362172.181,94972,210
1776362172.286,89141,210
1776362172.389,96184,210
1776362172.492,91893,210
1776362172.595,89415,210
1776362172.698,97395,210
1776362172.803,89415,210
1776362172.907,94741,210
1776362173.010,89743,210
1776362173.113,98607,210
1776362173.216,92495,210
1776362173.321,88904,210
1776362173.424,95954,210
1776362173.529,89507,210
1776362173.632,96282,210
1776362173.734,90172,210
1776362173.837,95778,210
1776362173.940,98708,210
1776362174.042,87781,210
1776362174.145,97495,210
1776362174.248,89507,210
1776362174.351,90867,210
1776362174.457,90538,210
1776362174.560,94741,210
1776362174.663,89324,210
1776362174.765,99639,210
1776362174.868,89598,210
1776362174.971,96885,210
1776362175.073,92081,210
1776362175.176,89927,210
1776362175.283,99466,210
1776362175.386,89598,210
1776362175.488,96655,210
1776362175.591,89598,210
1776362175.694,94838,210
1776362175.797,95778,210
1776362175.900,90264,210
1776362176.003,98534,210
