timestamp_s,power_mw,sm_clock_mhz
1776365604.680,56346,750
1776365604.783,56403,750
1776365604.885,190554,750
1776365604.988,191897,750
1776365605.091,192367,750
1776365605.193,191897,750
1776365605.296,176462,750
1776365605.399,177400,750
1776365605.505,176462,750
1776365605.607,172780,750
1776365605.710,163917,750
1776365605.812,171843,750
1776365605.915,171241,750
1776365606.018,172780,750
1776365606.120,172604,750
1776365606.223,170959,750
1776365606.326,172444,750
1776365606.429,170959,750
1776365606.531,169420,750
1776365606.634,171843,750
1776365606.737,170303,750
1776365606.839,171241,750
1776365606.942,171569,750
1776365607.044,171241,750
1776365607.147,166942,750
1776365607.250,171241,750
1776365607.354,169420,750
1776365607.457,171569,750
1776365607.559,161111,750
1776365607.662,173533,750
1776365607.765,169693,750
1776365607.867,170303,750
1776365607.970,170303,750
1776365608.073,171569,750
1776365608.175,165402,750
1776365608.279,171569,750
1776365608.382,160236,750
1776365608.488,173992,750
1776365608.591,169693,750
1776365608.693,170631,750
1776365608.796,172780,750
1776365608.898,174594,750
1776365609.001,168490,750
1776365609.105,173382,750
1776365609.208,161111,750
1776365609.310,175860,750
1776365609.413,170303,750
1776365609.516,169693,750
1776365609.618,171569,750
1776365609.721,174320,750
1776365609.824,170029,750
1776365609.926,171569,750
1776365610.029,166012,750
1776365610.132,165738,750
1776365610.234,173109,750
1776365610.337,166340,750
1776365610.440,171241,750
1776365610.542,170029,750
1776365610.645,171241,750
1776365610.747,172444,750
1776365610.850,163917,750
1776365610.953,173109,750
1776365611.057,165738,750
1776365611.160,172780,750
1776365611.262,161111,750
1776365611.365,174594,750
1776365611.468,173109,750
1776365611.570,172444,750
1776365611.673,171241,750
1776365611.776,172171,750
1776365611.878,169693,750
1776365611.983,171241,750
1776365612.086,172444,750
1776365612.189,160838,750
1776365612.292,171569,750
1776365612.395,165402,750
1776365612.497,173109,750
1776365612.600,165129,750
1776365612.703,173992,750
1776365612.805,171843,750
1776365612.909,171241,750
1776365613.015,165402,750
1776365613.117,173109,750
1776365613.220,164191,750
1776365613.323,172780,750
1776365613.425,163589,750
1776365613.528,173382,750
1776365613.631,170959,750
1776365613.734,172444,750
1776365613.836,158086,750
1776365613.939,173711,750
1776365614.042,167278,750
1776365614.144,172444,750
1776365614.247,165129,750
1776365614.350,171569,750
1776365614.452,171843,750
1776365614.555,174594,750
1776365614.659,165129,750
1776365614.762,172780,750
1776365614.867,169264,750
1776365614.969,172018,750
1776365615.072,171134,750
1776365615.175,168991,750
1776365615.278,170477,750
1776365615.381,173286,750
1776365615.485,170203,750
1776365615.587,172347,750
1776365615.690,169867,750
1776365615.793,173286,750
1776365615.895,163428,750
1776365615.998,171416,750
1776365616.101,174773,750
1776365616.203,169264,750
1776365616.306,173888,750
1776365616.410,168662,750
1776365616.513,173286,750
1776365616.616,172621,750
1776365616.718,169593,750
1776365616.821,170477,750
1776365616.924,172621,750
1776365617.027,172018,750
1776365617.129,170203,750
1776365617.232,174170,750
1776365617.339,173560,750
1776365617.442,171416,750
1776365617.545,171134,750
1776365617.647,163321,750
1776365617.750,171134,750
1776365617.853,162817,750
1776365617.956,174170,750
1776365618.059,170203,750
1776365618.162,173560,750
1776365618.265,173286,750
1776365618.368,160674,750
1776365618.470,173888,750
1776365618.573,173560,750
1776365618.676,173560,750
1776365618.778,171134,750
1776365618.881,174499,750
1776365618.984,169766,750
1776365619.088,171920,750
1776365619.190,172797,750
1776365619.293,161441,750
1776365619.396,175711,750
1776365619.498,171309,750
1776365619.602,174066,750
1776365619.706,173463,750
1776365619.809,173463,750
1776365619.913,173463,750
1776365620.016,172523,750
1776365620.118,166681,750
1776365620.221,171591,750
1776365620.324,167620,750
1776365620.426,173463,750
1776365620.529,170377,750
1776365620.632,172797,750
1776365620.735,172797,750
1776365620.839,161441,750
1776365620.942,174348,750
1776365621.045,172523,750
1776365621.147,174066,750
1776365621.250,173737,750
1776365621.353,168224,750
1776365621.456,171920,750
1776365621.559,171309,750
1776365621.662,171591,750
1776365621.768,168224,750
1776365621.871,173463,750
1776365621.974,173134,750
1776365622.076,173134,750
1776365622.179,172194,750
1776365622.282,161770,750
1776365622.385,175891,750
1776365622.488,173134,750
1776365622.590,172194,750
1776365622.693,170651,750
1776365622.796,173888,750
1776365622.898,168662,750
1776365623.001,173560,750
1776365623.104,161605,750
1776365623.206,173888,750
1776365623.309,173286,750
1776365623.412,173286,750
1776365623.515,169867,750
1776365623.618,174170,750
1776365623.721,169593,750
1776365623.823,172347,750
1776365623.926,170806,750
1776365624.029,174170,750
1776365624.132,172621,750
1776365624.234,172347,750
1776365624.337,175438,750
1776365624.441,170203,750
1776365624.544,174773,750
1776365624.647,168052,750
1776365624.750,172347,750
1776365624.852,164695,750
1776365624.955,174170,750
1776365625.057,169867,750
1776365625.160,174170,750
1776365625.263,172957,750
1776365625.366,162215,750
1776365625.470,173560,750
1776365625.573,173286,750
1776365625.675,171416,750
1776365625.778,175438,750
1776365625.880,173888,750
1776365625.983,172347,750
1776365626.086,163756,750
1776365626.188,165908,750
1776365626.291,173992,750
1776365626.402,173382,750
1776365626.505,172171,750
1776365626.607,173992,750
1776365626.710,171843,750
1776365626.813,173992,750
1776365626.915,171843,750
1776365627.018,173711,750
1776365627.121,173382,750
1776365627.224,167278,750
1776365627.327,172932,750
1776365627.429,162211,750
1776365627.532,172604,750
1776365627.635,161274,750
1776365627.737,175352,750
1776365627.840,170784,750
1776365627.942,173992,750
1776365628.045,169519,750
1776365628.148,171667,750
1776365628.251,166170,750
1776365628.354,174142,750
1776365628.456,159900,750
1776365628.559,173814,750
1776365628.662,168317,750
1776365628.764,171667,750
1776365628.868,172932,750
1776365628.970,171393,750
1776365629.073,173533,750
1776365629.175,171995,750
1776365629.278,174415,750
1776365629.382,169519,750
1776365629.485,174142,750
1776365629.587,167107,750
1776365629.690,174142,750
1776365629.792,173814,750
1776365629.895,172932,750
1776365629.998,171667,750
1776365630.100,166498,750
1776365630.203,172268,750
1776365630.306,163094,750
1776365630.410,174415,750
1776365630.512,172444,750
1776365630.615,172604,750
1776365630.718,174142,750
1776365630.820,174743,750
1776365630.923,172604,750
1776365631.025,173109,750
1776365631.128,172604,750
1776365631.231,160673,750
1776365631.340,173205,750
1776365631.442,169246,750
1776365631.545,169519,750
1776365631.647,165569,750
1776365631.750,172444,750
1776365631.852,162484,750
1776365631.955,171995,750
1776365632.058,171393,750
1776365632.161,174142,750
1776365632.263,165738,750
1776365632.366,173205,750
1776365632.469,172604,750
1776365632.571,172604,750
1776365632.674,170129,750
1776365632.776,173205,750
1776365632.879,172932,750
1776365632.981,170129,750
1776365633.084,173533,750
1776365633.187,167708,750
1776365633.290,174743,750
1776365633.393,173533,750
1776365633.496,161439,750
1776365633.598,172932,750
1776365633.701,172268,750
1776365633.804,169246,750
1776365633.906,172268,750
1776365634.009,169855,750
1776365634.111,171393,750
1776365634.214,164023,750
1776365634.317,171667,750
1776365634.420,166170,750
1776365634.522,171667,750
1776365634.625,173205,750
1776365634.728,162484,750
1776365634.830,173382,750
1776365634.933,163589,750
1776365635.035,170784,750
1776365635.138,175680,750
1776365635.241,173533,750
1776365635.344,166942,750
1776365635.446,172604,750
1776365635.549,171843,750
1776365635.651,171995,750
1776365635.754,162377,750
1776365635.857,171995,750
1776365635.959,172932,750
1776365636.067,173205,750
1776365636.169,168317,750
1776365636.272,168918,750
1776365636.375,172932,750
1776365636.477,172268,750
1776365636.580,172268,750
1776365636.682,173814,750
1776365636.785,173814,750
1776365636.887,169693,750
1776365636.990,173533,750
1776365637.094,163261,750
1776365637.196,174142,750
1776365637.299,162987,750
1776365637.401,173205,750
1776365637.504,174743,750
1776365637.607,173533,750
1776365637.709,167107,750
1776365637.812,171995,750
1776365637.914,164358,750
1776365638.017,171667,750
1776365638.120,172932,750
1776365638.223,171995,750
1776365638.325,172780,750
1776365638.428,170631,750
1776365638.531,167880,750
1776365638.633,172780,750
1776365638.736,171995,750
1776365638.839,163589,750
1776365638.941,172604,750
1776365639.044,170303,750
1776365639.147,172780,750
1776365639.249,169091,750
1776365639.352,173382,750
1776365639.454,172171,750
1776365639.557,172444,750
1776365639.660,163917,750
1776365639.763,173382,750
1776365639.866,168818,750
1776365639.968,171843,750
1776365640.072,173992,750
1776365640.174,173711,750
1776365640.277,172780,750
1776365640.380,162817,750
1776365640.482,172018,750
1776365640.585,165298,750
1776365640.688,173560,750
1776365640.796,171416,750
1776365640.899,174499,750
1776365641.002,174170,750
1776365641.105,164969,750
1776365641.207,172957,750
1776365641.310,175438,750
1776365641.414,173286,750
1776365641.517,165571,750
1776365641.620,170806,750
1776365641.723,172018,750
1776365641.825,174499,750
1776365641.928,172347,750
1776365642.031,173286,750
1776365642.133,172621,750
1776365642.236,169867,750
1776365642.338,172957,750
1776365642.441,172621,750
1776365642.544,173286,750
1776365642.647,161276,750
1776365642.750,172347,750
1776365642.853,171745,750
1776365642.956,168991,750
1776365643.059,174170,750
1776365643.161,170203,750
1776365643.264,172347,750
1776365643.366,168662,750
1776365643.469,172621,750
1776365643.574,163756,750
1776365643.676,172957,750
1776365643.779,165298,750
1776365643.882,175101,750
1776365643.984,172018,750
1776365644.087,174499,750
1776365644.190,173560,750
1776365644.292,176040,750
1776365644.396,173286,750
1776365644.499,167723,750
1776365644.602,172621,750
1776365644.705,170203,750
1776365644.807,172347,750
1776365644.910,171416,750
1776365645.013,172957,750
1776365645.119,169264,750
1776365645.222,173888,750
1776365645.324,170477,750
1776365645.427,174499,750
1776365645.530,165571,750
1776365645.632,175438,750
1776365645.735,172347,750
1776365645.838,171416,750
1776365645.940,168662,750
1776365646.043,172957,750
1776365646.146,171134,750
1776365646.250,174499,750
1776365646.353,166510,750
1776365646.455,172957,750
1776365646.558,166510,750
1776365646.660,166681,750
1776365646.763,174170,750
1776365646.866,171745,750
1776365646.968,171416,750
1776365647.071,162107,750
1776365647.174,173737,750
1776365647.277,173560,750
1776365647.380,174348,750
1776365647.483,174773,750
1776365647.586,171591,750
1776365647.689,169766,750
1776365647.791,172347,750
1776365647.894,171309,750
1776365647.996,173463,750
1776365648.099,172797,750
1776365648.202,174170,750
1776365648.305,174066,750
1776365648.408,174348,750
1776365648.510,161605,750
1776365648.614,175860,750
1776365648.716,172444,750
1776365648.819,175532,750
1776365648.922,172780,750
1776365649.025,168991,750
1776365649.128,174594,750
1776365649.231,169867,750
1776365649.333,172621,750
1776365649.436,168052,750
1776365649.539,172957,750
1776365649.642,172347,750
1776365649.748,170806,750
1776365649.851,172957,750
1776365649.954,164359,750
1776365650.056,173888,750
1776365650.159,171745,750
1776365650.262,171134,750
1776365650.364,174170,750
1776365650.467,172018,750
1776365650.569,170203,750
1776365650.672,173888,750
1776365650.774,172957,750
1776365650.877,172018,750
1776365650.980,161002,750
1776365651.083,172347,750
1776365651.185,173560,750
1776365651.288,171134,750
1776365651.390,168052,750
1776365651.493,172347,750
1776365651.595,170806,750
1776365651.698,172018,750
1776365651.801,160400,750
1776365651.904,172957,750
1776365652.006,164695,750
1776365652.109,167113,750
1776365652.211,175711,750
1776365652.314,171569,750
1776365652.417,172171,750
1776365652.519,173382,750
1776365652.622,173382,750
1776365652.724,166942,750
1776365652.827,173109,750
1776365652.930,167552,750
1776365653.033,173992,750
1776365653.135,172780,750
1776365653.238,175532,750
1776365653.341,172268,750
1776365653.443,173814,750
1776365653.546,171393,750
1776365653.649,174922,750
1776365653.751,167380,750
1776365653.854,173205,750
1776365653.958,166771,750
1776365654.061,162211,750
1776365654.163,173205,750
1776365654.266,167552,750
1776365654.369,171995,750
1776365654.475,169091,750
1776365654.578,174743,750
1776365654.681,171667,750
1776365654.784,172604,750
1776365654.886,163749,750
1776365654.989,173533,750
1776365655.092,173533,750
1776365655.194,171995,750
1776365655.297,164023,750
1776365655.399,173814,750
1776365655.502,171667,750
1776365655.605,175352,750
1776365655.708,174743,750
1776365655.811,173814,750
1776365655.914,167107,750
1776365656.016,174415,750
1776365656.119,167880,750
1776365656.221,171995,750
1776365656.324,166771,750
1776365656.427,169420,750
1776365656.529,173533,750
1776365656.632,173533,750
1776365656.737,162820,750
1776365656.840,173205,750
1776365656.942,171995,750
1776365657.045,171995,750
1776365657.147,175352,750
1776365657.250,173814,750
1776365657.353,167552,750
1776365657.455,171995,750
1776365657.558,165569,750
1776365657.663,172171,750
1776365657.765,171065,750
1776365657.869,172268,750
1776365657.971,174142,750
1776365658.074,173814,750
1776365658.177,167708,750
1776365658.280,172932,750
1776365658.382,171393,750
1776365658.485,173205,750
1776365658.588,168317,750
1776365658.691,172268,750
1776365658.793,173205,750
1776365658.896,174743,750
1776365659.002,173533,750
1776365659.105,172171,750
1776365659.207,173533,750
1776365659.310,173533,750
1776365659.413,172604,750
1776365659.516,163749,750
1776365659.618,173814,750
1776365659.721,169420,750
1776365659.824,175079,750
1776365659.926,170456,750
1776365660.029,172268,750
1776365660.131,171065,750
1776365660.235,173533,750
1776365660.338,173205,750
1776365660.441,171393,750
1776365660.544,172604,750
1776365660.647,171667,750
1776365660.749,173533,750
1776365660.852,174142,750
1776365660.954,171995,750
1776365661.057,162987,750
1776365661.160,172932,750
1776365661.265,171393,750
1776365661.367,162987,750
1776365661.470,175680,750
