timestamp_s,power_mw,sm_clock_mhz
1776356795.077,54644,345
1776356795.180,111480,345
1776356795.283,117430,345
1776356795.386,119186,345
1776356795.488,122336,345
1776356795.591,118972,345
1776356795.693,117767,345
1776356795.796,119911,345
1776356795.899,121726,345
1776356796.003,119308,345
1776356796.106,119582,345
1776356796.209,115013,345
1776356796.311,115889,345
1776356796.414,115771,345
1776356796.517,115497,345
1776356796.619,120671,345
1776356796.722,114231,345
1776356796.825,122211,345
1776356796.930,109057,345
1776356797.032,110878,345
1776356797.135,110268,345
1776356797.239,114559,345
1776356797.345,113019,345
1776356797.447,112904,345
1776356797.550,113629,345
1776356797.655,115771,345
1776356797.758,114231,345
1776356797.860,113019,345
1776356797.963,109940,345
1776356798.066,114559,345
1776356798.168,113019,345
1776356798.271,113019,345
1776356798.374,113019,345
1776356798.477,114231,345
1776356798.582,112746,345
1776356798.684,109940,345
1776356798.787,115497,345
1776356798.890,113957,345
1776356798.993,113019,345
1776356799.096,112418,345
1776356799.199,117037,345
1776356799.302,115169,345
1776356799.408,113348,345
1776356799.510,117646,345
1776356799.613,115497,345
1776356799.716,113957,345
1776356799.818,113019,345
1776356799.921,118248,345
1776356800.024,112089,345
1776356800.126,112418,345
1776356800.229,113019,345
1776356800.335,116380,345
1776356800.437,113629,345
1776356800.540,112746,345
1776356800.643,112418,345
1776356800.745,115497,345
1776356800.848,113629,345
1776356800.951,113019,345
1776356801.054,113629,345
1776356801.157,117646,345
1776356801.262,114895,345
1776356801.365,114231,345
1776356801.469,113348,345
1776356801.574,114231,345
1776356801.677,113957,345
1776356801.780,112746,345
1776356801.883,112746,345
1776356801.988,116099,345
1776356802.091,113348,345
1776356802.193,110268,345
1776356802.296,112746,345
1776356802.399,115497,345
1776356802.501,113629,345
1776356802.604,112746,345
1776356802.707,113348,345
1776356802.810,116709,345
1776356802.915,114231,345
1776356803.018,109057,345
1776356803.120,114231,345
1776356803.223,116099,345
1776356803.326,114559,345
1776356803.429,113629,345
1776356803.532,113019,345
1776356803.636,115771,345
1776356803.742,113629,345
1776356803.845,113019,345
1776356803.948,114895,345
1776356804.050,113348,345
1776356804.153,113019,345
1776356804.256,112746,345
1776356804.359,113019,345
1776356804.461,113957,345
1776356804.567,112746,345
1776356804.670,114231,345
1776356804.773,115497,345
1776356804.875,113348,345
