timestamp_s,power_mw,sm_clock_mhz
1776362374.533,54532,240
1776362374.637,54532,240
1776362374.743,98333,240
1776362374.846,99537,240
1776362374.949,99873,240
1776362375.052,100146,240
1776362375.154,99873,240
1776362375.257,102288,240
1776362375.360,101686,240
1776362375.464,101084,240
1776362375.567,101084,240
1776362375.670,101084,240
1776362375.773,100748,240
1776362375.876,99873,240
1776362375.978,100146,240
1776362376.081,104873,240
1776362376.184,99975,240
1776362376.287,98097,240
1776362376.392,97823,240
1776362376.494,96282,240
1776362376.597,98097,240
1776362376.700,95954,240
1776362376.802,97823,240
1776362376.905,99639,240
1776362377.008,95343,240
1776362377.111,99036,240
1776362377.215,97495,240
1776362377.318,94741,240
1776362377.421,96282,240
1776362377.523,98097,240
1776362377.626,98708,240
1776362377.729,99036,240
1776362377.831,97495,240
1776362377.934,94467,240
1776362378.037,95680,240
1776362378.140,93802,240
1776362378.243,95069,240
1776362378.346,94131,240
1776362378.449,94131,240
1776362378.555,97495,240
1776362378.658,97495,240
1776362378.760,96556,240
1776362378.863,97495,240
1776362378.966,95778,240
1776362379.071,93528,240
1776362379.174,93624,240
1776362379.277,94741,240
1776362379.379,95441,240
1776362379.482,95680,240
1776362379.586,96984,240
1776362379.689,97320,240
1776362379.792,95167,240
1776362379.897,96052,240
1776362380.000,95680,240
1776362380.102,95954,240
1776362380.205,95441,240
1776362380.308,95343,240
1776362380.411,94564,240
1776362380.513,99137,240
1776362380.617,94838,240
1776362380.724,94564,240
1776362380.826,95778,240
1776362380.929,95778,240
1776362381.032,94227,240
1776362381.135,94564,240
1776362381.237,96052,240
1776362381.340,95441,240
1776362381.443,94564,240
1776362381.546,98198,240
1776362381.649,95167,240
1776362381.752,94564,240
1776362381.854,94741,240
1776362381.957,95954,240
1776362382.060,95069,240
1776362382.163,94741,240
1776362382.266,94467,240
1776362382.368,97221,240
1776362382.471,95680,240
1776362382.576,94467,240
1776362382.682,96556,240
1776362382.785,95343,240
1776362382.887,94741,240
1776362382.990,94467,240
1776362383.093,94741,240
1776362383.196,96556,240
1776362383.301,93528,240
1776362383.404,94741,240
1776362383.507,95069,240
1776362383.610,94467,240
1776362383.712,93802,240
1776362383.815,95954,240
1776362383.919,95343,240
1776362384.022,95069,240
1776362384.127,94741,240
1776362384.230,97221,240
1776362384.333,96282,240
1776362384.436,94741,240
1776362384.538,96885,240
1776362384.641,94741,240
1776362384.744,95069,240
1776362384.847,95582,240
1776362384.950,97723,240
1776362385.054,94370,240
1776362385.157,94034,240
1776362385.260,96184,240
1776362385.363,94972,240
1776362385.466,94370,240
1776362385.569,96184,240
1776362385.671,95582,240
1776362385.774,94034,240
1776362385.879,94644,240
1776362385.982,97122,240
1776362386.084,96786,240
1776362386.187,94644,240
1776362386.290,97395,240
1776362386.393,95855,240
1776362386.496,94972,240
1776362386.599,94644,240
1776362386.702,97122,240
1776362386.808,101084,240
1776362386.914,94972,240
1776362387.017,94972,240
1776362387.119,95855,240
1776362387.222,94644,240
1776362387.325,94370,240
1776362387.428,95855,240
1776362387.534,96457,240
1776362387.637,94370,240
1776362387.739,94644,240
1776362387.843,95582,240
1776362387.946,96184,240
1776362388.049,94644,240
1776362388.152,97723,240
1776362388.256,97723,240
1776362388.361,94644,240
1776362388.464,94972,240
1776362388.566,95855,240
1776362388.669,98607,240
1776362388.772,94972,240
1776362388.875,95582,240
1776362388.978,94644,240
1776362389.081,93706,240
1776362389.185,95855,240
1776362389.287,96184,240
1776362389.391,94644,240
1776362389.493,94644,240
1776362389.596,94972,240
1776362389.699,96786,240
1776362389.802,94370,240
1776362389.904,98935,240
1776362390.007,96786,240
1776362390.113,94644,240
1776362390.216,94644,240
1776362390.319,95582,240
1776362390.422,101686,240
1776362390.524,94370,240
1776362390.627,94972,240
1776362390.730,95246,240
1776362390.833,94370,240
1776362390.936,94370,240
1776362391.040,97395,240
1776362391.146,97723,240
